lemma,Norval_frame,UD_frame,example,theta1,theta2,theta3,theta4
abbreviere,tr,nsubj-obj,vi abbrevierer betegnelsene,agent,patient,,
abdisere,intr,nsubj,abbedissen abdiserer,agent,,,
abonnere,intr,nsubj,vi abonnerer,agent,,,
abonnere-på,intrObl-oblN,nsubj-obl,vi abonnerer på avisen,agent,theme,,
abortere-fra,intrObl-oblEqSuInf,nsubj-advcl,vi aborterer fra å forhandle i det uvisse,agent,theme,,
abortere-fra,intrObl-oblN,nsubj-obl,vi aborterer fra forhandlingene,agent,theme,,
abortere,intr,nsubj,hun aborterer,agent,,,
abortere,tr,nsubj-obj,vi aborterer forhandlingene,agent,theme,,
absentere,tr-obRefl,nsubj-obj,hun absenterer seg,agent,null-role,,
absolvere,intr,nsubj,han absolverer,agent,,,
absolvere,tr,nsubj-obj,han absolverer ritualet,agent,beneficiary,,
absorbere,tr,nsubj-obj,papiret absorberer vannet,goal,theme,,
abstrahere-fra,intrObl-oblN,nsubj-obl,formelen abstraherer fra det virkelige forløpet,cause,source,,
abstrahere-fra,intrObl-oblN,nsubj-obl,professoren abstraherer fra det virkelige forløpet,agent,source,,
abstrahere-fra,trObl-oblN,nsubj-obj-obl,vi abstraherer et mønster fra dette tilfellet,agent,result,source,
abstrahere,intr,nsubj,formelen abstraherer,theme,,,
abstrahere,intr,nsubj,professoren abstraherer,agent,,,
abstrahere,tr,nsubj-obj,bildet abstraherer en sandstrand,pivot,theme,,
adaptere-til,trObl-oblN,nsubj-obj-obl,dokumentene adapterer virksomheten til de strategiske mål,cause,patient,goal,
adaptere-til,trObl-oblN,nsubj-obj-obl,vi adapterer virksomheten til de strategiske mål,agent,patient,goal,
adaptere,tr,nsubj-obj,målene adapterer vår oppførsel,cause,patient,,
adaptere,tr,nsubj-obj,vi adapterer vår oppførsel,agent,patient,,
addere,tr,nsubj-obj,vi adderer tallene,agent,theme,,
adherere-til,intrObl-oblEqSuInf,nsubj-advcl,vi adhererer til å følge vanlige prosedyrer,agent,theme,,
adherere-til,intrObl-oblINTERR,nsubj-advcl,planen adhererer til hva reglementet sier,agent,theme,,
adherere-til,intrObl-oblN,nsubj-obl,vi adhererer til reglementet,agent,theme,,
adjektivere,tr,nsubj-obj,endelsen adjektiverer verbet,cause,patient,,
adjektivere,tr,nsubj-obj,professoren adjektiverer verbet,agent,patient,,
adle,tr,nsubj-obj,dronningen adler henne,agent,theme,,
adlyde,intr,nsubj,soldatene adlyder,agent,,,
adlyde,tr,nsubj-obj,vi adlyder kommandanten,agent,theme,,
administrere,tr,nsubj-obj,vi administrerer avdelingen,agent,theme,,
adoptere-bort,trPrtcl,nsubj-obj,vi adopterer barna bort,agent,theme,,
adoptere,tr,nsubj-obj,vi adopterer barna,agent,theme,,
adressere-til,trObl-oblN,nsubj-obj-obl,jeg adresserer brevet til deg,agent,theme,destination,
adressere,tr,nsubj-obj,jeg adresserer brevet,agent,destination,,
adressere,tr,nsubj-obj,styret adresserer saken,agent,theme,,
adskille-fra,trObl-oblN,nsubj-obj-obl,vi adskiller dem fra hverandre,agent,patient,co-patient,
adskille-fra,trObl-obRefl-oblN,nsubj-obj-obl,hun adskiller seg fra andre,theme,null-role,co-theme,
adskille,tr,nsubj-obj,vi adskiller de kjempende,agent,patient,,
adsorbere,tr,nsubj-obj,materialet adsorberer stoffet,goal,theme,,
advare-mot,intrObl-oblAbsinf,nsubj-advcl,vi advarer mot å reise til de landene,agent,topic,,
advare-mot,intrObl-oblDECL,nsubj-advcl,vi advarer mot at avtalen inngåes,agent,topic,,
advare-mot,intrObl-oblN,nsubj-obl,vi advarer mot reising,agent,topic,,
advare-mot,trObl-oblDECL,nsubj-obj-advcl,vi advarer dem mot at sykdommen undervurderes,agent,recipient,topic,
advare-mot,trObl-oblEqObInf,nsubj-obj-advcl,vi advarer dem mot å reise dit,agent,recipient,topic,
advare-mot,trObl-oblN,nsubj-obj-obl,vi advarer dem mot farene,agent,recipient,topic,
advare-om,intrObl-oblDECL,nsubj-advcl,vi advarer om at broen er risikabel,agent,topic,,
advare-om,intrObl-oblN,nsubj-obl,vi advarer om risikoen,agent,topic,,
advare-om,trObl-oblDECL,nsubj-obj-advcl,vi advarer dem om at sykdommen er dødelig,agent,recipient,topic,
advare,tr,nsubj-obj,vi advarer turistene,agent,recipient,,
advisere,tr,nsubj-obj,vi adviserer novisene,agent,recipient,,
affektere,tr,nsubj-obj,sangen affekterer henne,stimulus,experiencer,,
affisere,tr,nsubj-obj,nyheten affiserer oss,stimulus,experiencer,,
afrikanisere,tr,nsubj-obj,vi afrikaniserer hårmotene,agent,patient,,
agere,copN,nsubj-xcomp,han agerer multimillionær,agent,attribute,,
agere,intr,nsubj,vi agerer,agent,,,
agere,intrScpr-scSuNrg-scPred,nsubj-xcomp,han agerer interessert,agent,attribute,,
age,tr-obRefl,nsubj-obj,hun ager seg,experiencer,null-role,,
agglutinere,intr,nsubj,bitene agglutinerer,patient,,,
agglutinere,tr,nsubj-obj,tyrkisk agglutinerer morfemene,cause,patient,,
agglutinere,tr,nsubj-obj,vi agglutinerer bitene,agent,patient,,
agitere-for,intrObl-oblN,nsubj-obl,vi agiterer for saken,agent,beneficiary,,
agitere,intr,nsubj,aktivistene agiterer,stimulus,,,
agne,tr,nsubj-obj,vi agner metemarken,agent,patient,,
ajourføre,tr,nsubj-obj,vi ajourfører oversikten,agent,theme,,
ake,intr,nsubj,barna aker,theme,,,
akkedere,intr,nsubj,forhandlerne akkederer,agent,,,
akkedere-med,intrObl-oblN,nsubj-obl,forhandlerne akkederer med oss,agent,co-agent,,
akke-over,trObl-obRefl-oblDECL,nsubj-obj-advcl,han akker seg over at administrasjonen er inkompetent,agent,topic,,
akke-over,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,han akker seg over å måtte sitte i flere møter,agent,topic,,
akke-over,trObl-obRefl-oblINTERR,nsubj-obj-advcl,hun akker seg over hva de finner på,agent,null-role,topic,
akke-over,trObl-obRefl-oblN,nsubj-obj-obl,hun akker seg over administrasjonen,agent,null-role,topic,
akke,tr-obRefl,nsubj-obj,hun akker seg,agent,null-role,,
akklimatisere,tr,nsubj-obj,høyden akklimatiserer deltagerne,cause,patient,,
akklimatisere,tr,nsubj-obj,vi akklimatiserer deltagerne,agent,patient,,
akklimatisere,tr-obRefl,nsubj-obj,deltagerne akklimatiserer seg,patient,null-role,,
akkommodere,tr,nsubj-obj,vi akkommoderer deltagerne,agent,theme,,
akkommodere,tr-obRefl,nsubj-obj,deltagerne akkommoderer seg,theme,null-role,,
akkompagnere,intr,nsubj,bandet akkompagnerer,agent,,,
akkompagnere,tr,nsubj-obj,bandet akkompagnerer sangeren,agent,theme,,
akkordere,intr,nsubj,representantene akkorderer,agent,,,
akkordere-med,intrObl-oblN,nsubj-obl,representantene akkorderer med forslaget,agent,topic,,
akkreditere,tr,nsubj-obj,vi akkrediterer journalistene,agent,theme,,
akkumulere,tr,nsubj-obj,vi akkumulerer formuer,agent,theme,,
akkvirere,tr,nsubj-obj,vi akkvirerer midlene,agent,theme,,
akselerere,intr,nsubj,bilens hastighet akselererer,patient,,,
akselerere,tr,nsubj-obj,vi akselererer hastigheten,agent,patient,,
akselerere,tr,nsubj-obj,vinden akselererer hastigheten,cause,patient,,
aksentuere,tr,nsubj-obj,beskrivelsen aksentuerer fordelene,agent,topic,,
aksentuere,tr,nsubj-obj,beskrivelsen aksentuerer fordelene,pivot,topic,,
aksentuere,tr-obDECL,nsubj-ccomp,beskrivelsen aksentuerer at det går bra,agent,topic,,
aksentuere,tr-obDECL,nsubj-ccomp,beskrivelsen aksentuerer at det går bra,pivot,topic,,
akseptere,tr,nsubj-obj,vi aksepterer resultatet,agent,theme,,
akseptere,tr-obDECL,nsubj-ccomp,vi aksepterer at de går over eiendommen,agent,theme,,
aksjonere-for,intrObl-oblN,nsubj-obl,de aksjonerer for planen,agent,topic,,
aksjonere,intr,nsubj,aktivistene aksjonerer,agent,,,
aksjonere-mot,intrObl-oblN,nsubj-obl,de aksjonerer mot planen,agent,topic,,
aksle,tr,nsubj-obj,hun aksler ordførertitelen,agent,theme,,
akte-for,trObl-obRefl,nsubj-obj-obl,hun akter seg for grevlingene,experiencer,stimulus,,
akte-for,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun akter seg for å gå ut,experiencer,stimulus,,
akte-på,intrObl-oblInterr,nsubj-advcl,han akter på hva vi forteller,experiencer,stimulus,,
akte-på,intrObl-oblN,nsubj-obl,han akter på værforandringene,experiencer,stimulus,,
akterutsegle,tr,nsubj-obj,vi akterutsegler konkurrentene,pivot,theme,,
akterutseile,tr,nsubj-obj,vi akterutseiler konkurrentene,pivot,theme,,
aktes-for,intrObl-oblAbsinf,nsubj-advcl,de aktes for å snakke med folk,experiencer,stimulus,,
aktes-for,intrObl-oblINTERR,nsubj-advcl,han aktes for hva de kan bestemme seg for,experiencer,stimulus,,
aktes-for,intrObl-oblN,nsubj-obl,han aktes for gaupene,experiencer,stimulus,,
akte,tr,nsubj-obj,vi akter konsekvensene,experiencer,stimulus,,
akte,tr-obEqSuInf,nsubj-xcomp,hun akter å komme,agent,topic,,
akte,tr-obRefl,nsubj-obj,hun akter seg,experiencer,null-role,,
aktivere,tr,nsubj-obj,vi aktiverer kontoen,agent,patient,,
aktivisere,tr,nsubj-obj,vi aktiviserer innboerne,agent,patient,,
aktivisere,tr-obRefl,nsubj-obj,hun aktiviserer seg,agent,null-role,,
aktualisere,tr,nsubj-obj,dette aktualiserer behovet,pivot,topic,,
aktualisere,tr-obDECL,nsubj-ccomp,hendelsen aktualiserer at det er et stort behov,pivot,topic,,
aktualisere,tr-obINTERR,nsubj-ccomp,hendelsen aktualiserer hva som er viktig,pivot,topic,,
alarmere,tr,nsubj-obj,alarmen alarmerer innbyggerne,stimulus,experiencer,,
alarmere,tr,nsubj-obj,vi alarmerer innbyggerne,agent,recipient,,
alboge,trPath-obRefl-obDir,nsubj-obj-obl,hun alboger seg fram,theme,null-role,orientation,
albue,trPath-obRefl-obDir,nsubj-obj-obl,hun albuer seg frem,theme,null-role,orientation,
aldersbestemme,tr,nsubj-obj,vi aldersbestemmer prøvene,agent,theme,,
aldres,intr,nsubj,vi aldres,patient,,,
ale-opp-til,trPrtclObl-oblEqObInf,nsubj-obj-advcl,vi aler den opp til å løpe veddeløp,agent,patient,attribute,
ale-opp-til,trPrtclObl-oblN,nsubj-obj-obl,vi aler den opp til veddeløp,agent,patient,attribute,
ale-opp,trPrtcl,nsubj-obj,vi aler opp hester,agent,patient,,
alfabetisere,tr,nsubj-obj,vi alfabetiserer bøkene,agent,theme,,
alienere-fra,trObl-oblN,nsubj-obj-obl,miljøet alienerer henne fra de andre,cause,patient,co-patient,
alienere-fra,trObl-oblN,nsubj-obj-obl,vi alienerer henne fra de andre,agent,patient,co-patient,
alienere-fra,trObl-obRefl-oblN,nsubj-obj-obl,hun alienerer seg fra de andre,agent,null-role,source,
alienere,tr,nsubj-obj,vi alienerer kollegene,stimulus,experiencer,,
alkoholisere,tr,nsubj-obj,drikkeskikkene alkoholiserer folk,cause,patient,,
alkoholisere,tr,nsubj-obj,lurendreieren alkoholiserer vennene sine,agent,patient,,
alliere-med,trObl-oblN,nsubj-obj-obl,en felles fiende allierer bygdene med hverandre,cause,patient,co-patient,
alliere-med,trObl-oblN,nsubj-obj-obl,vi allierer bygdene med hverandre,agent,patient,co-patient,
alliere-med,trObl-obRefl-oblN,nsubj-obj-obl,bygda allierer seg med nabobygds,agent,null-role,co-agent,
allitterere,intr,nsubj,forfatteren allittererer,agent,,,
allitterere,intr,nsubj,verselinjene allittererer,theme,,,
allitterere,tr,nsubj-obj,forfatteren allittererer verselinjene,agent,theme,,
allitterere,tr,nsubj-obj,sagatradisjonen allittererer verselinjene,cause,theme,,
allokere-til,trObl-oblN,nsubj-obj-obl,vi allokerer pengene til planleggingsprosessen,agent,theme,goal,
allokere,tr,nsubj-obj,vi allokerer insentivmidlene,agent,theme,,
alludere-til,intrObl-oblN,nsubj-obl,foredragsholderen alluderer til folkevandringene,agent,topic,,
alludere-til,intrObl-oblN,nsubj-obl,teksten alluderer til folkevandringene,pivot,topic,,
alterere,tr,nsubj-obj,vi altererer de eldre,experiencer,stimulus,,
alternere,intr,nsubj,deltagerne alternerer,theme,,,
alternere-med,intrObl-oblN,nsubj-obl,deltagerne alternerer med hverandre,theme,co-theme,,
aluminere,tr,nsubj-obj,de aluminerer platene,agent,destination,,
amalgamere,tr,nsubj-obj,de amalgamerer organisasjonene,agent,patient,,
ambulere,intr,nsubj,deltagerne ambulerer,theme,,,
amerikanisere,tr,nsubj-obj,han amerikaniserer vår kultur,agent,patient,,
amerikanisere,tr,nsubj-obj,reklamen amerikaniserer vår kultur,cause,patient,,
amme,intr,nsubj,hun ammer,agent,,,
amme,tr,nsubj-obj,hun ammer babyen,agent,recipient,,
amortisere,tr,nsubj-obj,vi amortiserer lånet,agent,theme,,
amputere,tr,nsubj-obj,han amputerer foten,agent,patient,,
amputere,tr,nsubj-obj,kuttet amputerer foten,cause,patient,,
analysere-til,trObl-obRefl-oblN,nsubj-obj-obl,hun analyserer seg til løsningen,agent,null-role,topic,
analysere,tr,nsubj-obj,vi analyserer testprøvene,agent,theme,,
anbefale,ditr,nsubj-iobj-obj,hun anbefaler deg den første løsningen,agent,recipient,topic,
anbefale,ditr-obEqIobInf,nsubj-iobj-xcomp,jeg anbefaler deg å gå,agent,recipient,topic,
anbefale-for,trObl-oblN,nsubj-obj-obl,vi anbefaler dem for oppgaven,agent,theme,goal,
anbefale,tr,nsubj-obj,vi anbefaler den første løsningen,agent,topic,,
anbefale,tr-obDECL,nsubj-ccomp,de anbefaler at han får jobben,agent,topic,,
anbringe,trObl-oblLoc,nsubj-obj-obl,vi anbringer varene her,agent,theme,destination,
andra-om,intrObl-oblEqSuInf,nsubj-advcl,han andrar om å kunne bygge,agent,theme,,
andra-om,intrObl-oblN,nsubj-obl,han andrar om tillatelse,agent,theme,,
andra-om,trObl-oblEqSuInf,nsubj-obj-advcl,han andrar ledelsen om å kunne bygge,agent,recipient,topic,
andra-om,trObl-oblN,nsubj-obj-obl,han andrar ledelsen om tillatelse,agent,recipient,topic,
andra,tr,nsubj-obj,han andrar en søknad,agent,theme,,
ane,intr,nsubj,vi aner,experiencer,,,
anerkjenne-som,trScpr-scPredprtcl,nsubj-obj-xcomp,reglene anerkjenner dem som kandidater,pivot,topic,attribute,
anerkjenne-som,trScpr-scPredprtcl,nsubj-obj-xcomp,vi anerkjenner dem som kandidater,agent,theme,attribute,
anerkjenne,tr,nsubj-obj,de anerkjenner syndene,agent,topic,,
anerkjenne,tr,nsubj-obj,reglene anerkjenner kravet på kongedømmet,pivot,topic,,
anerkjenne,tr,nsubj-obj,vi anerkjenner det nye styret,agent,theme,,
anestesere,tr,nsubj-obj,medisinen anesteserer pasienten,cause,patient,,
anestesere,tr,nsubj-obj,vi anesteserer pasienten,agent,patient,,
ane,trExpnSu-expnDECL,expl-obj-csubj,det aner dem at krisen kommer,formal,experiencer,stimulus,
ane,trExpnSu-expnINTERRwh,expl-obj-csubj,det aner dem hva som vil skje,formal,experiencer,stimulus,
ane,tr,nsubj-obj,det aner meg,stimulus,experiencer,,
ane,tr,nsubj-obj,vi aner ulykken,experiencer,stimulus,,
ane,tr-obDECL,nsubj-ccomp,de aner at dette går galt,experiencer,stimulus,,
ane,tr-obINTERR,nsubj-ccomp,hun aner hva som vil skje,experiencer,stimulus,,
ane,tr-suDECL,csubj-obj,at det vil bli epidemi aner helsemyndighetene,stimulus,experiencer,,
ane,tr-suINTERR,csubj-obj,hva som nå vil skje aner meg,stimulus,experiencer,,
anfalle,tr,nsubj-obj,vi anfaller forbipasserende,agent,patient,,
anfekte,tr,nsubj-obj,erklæringen anfekter prestene,stimulus,experiencer,,
anføre-som,trScpr-scPredprtcl,nsubj-obj-xcomp,vi anfører kommentarene som proargumenter,agent,topic,attribute,
anføre,tr,nsubj-obj,han anfører bondehæren,agent,theme,,
anføre,tr,nsubj-obj,jeg anfører en kommentar,agent,topic,,
anføre,tr-obDECL,nsubj-ccomp,hun anfører at saken allerede var kjent,agent,topic,,
ange,intr,nsubj,blomstene anger,theme,,,
angi-til,trObl-oblN,nsubj-obj-obl,tavlen angir verdien til tilskuerne,pivot,topic,experiencer,
angi-til,trObl-oblN,nsubj-obj-obl,vi angir de besøkende til styresmaktene,agent,topic,recipient,
angi-til,trObl-oblN,nsubj-obj-obl,vi angir årsaken til styresmaktene,agent,topic,recipient,
angi,tr,nsubj-obj,tavlen angir verdien,pivot,topic,,
angi,tr,nsubj-obj,vi angir de besøkende,agent,patient,,
angi,tr,nsubj-obj,vi angir verdien,agent,topic,,
angi,tr-obINTERR,nsubj-ccomp,tavlen angir hva som er årsaken,pivot,topic,,
angi,tr-obINTERR,nsubj-ccomp,vi angir hva som er årsaken,agent,topic,,
angle,tr,nsubj-obj,vi angler meitemarkene,agent,patient,,
anglifisere,tr,nsubj-obj,de anglifiserer språket,agent,patient,,
anglifisere,tr,nsubj-obj,reklamene anglifiserer språket,cause,patient,,
anglisere,tr,nsubj-obj,de angliserer begrepene,agent,patient,,
anglisere,tr,nsubj-obj,reklamene angliserer begrepene,cause,patient,,
angre-for,intrObl-oblDECL,nsubj-advcl,vi angrer for at vi gjorde det,experiencer,stimulus,,
angre-for,intrObl-oblEqSuInf,nsubj-advcl,vi angrer for å ha gjort det,experiencer,stimulus,,
angre-for,intrObl-oblN,nsubj-obl,vi angrer for initiativet,experiencer,stimulus,,
angre-for,trObl-obRefl-oblDECL,nsubj-obj-advcl,vi angrer oss for at vi gjorde det,experiencer,stimulus,,
angre-for,trObl-obRefl-oblINTERR,nsubj-obj-advcl,vi angrer oss for hva vi sa,experiencer,null-role,stimulus,
angre-for,trObl-obRefl-oblN,nsubj-obj-obl,vi angrer oss for utsagnet,experiencer,null-role,stimulus,
angre,intr,nsubj,vi angrer,experiencer,,,
angre-på,intrObl-oblDECL,nsubj-advcl,jeg angrer på at jeg sa det,experiencer,stimulus,,
angre-på,intrObl-oblN,nsubj-obl,vi angrer på utspillet,experiencer,stimulus,,
angre,tr,nsubj-obj,vi angrer utsagnet,experiencer,stimulus,,
angre,tr-obDECL,nsubj-ccomp,vi angrer at vi gjorde det,experiencer,stimulus,,
angre,tr-obEqSuInf,nsubj-xcomp,vi angrer å ha sagt det,experiencer,stimulus,,
angre,tr-obRefl,nsubj-obj,hun angrer seg,experiencer,null-role,,
angripe,intr,nsubj,vi angriper,agent,,,
angripe,tr,nsubj-obj,vi angriper statsministeren,agent,patient,,
angå,trExpnSu-expnDECL,expl-obj-csubj,det angår oss at du kommer,formal,theme,co-theme,
angå,trExpnSu-expnINTERRwh,expl-obj-csubj,det angår oss hvem som kommer,formal,theme,co-theme,
angå,trExpnSu-expnINTERRyn,expl-obj-csubj,det angår oss hvorvidt du kommer,formal,theme,co-theme,
angå,tr,nsubj-obj,saken angår oss,theme,co-theme,,
angå,tr-suDECL,csubj-obj,at de kommer angår oss,theme,co-theme,,
angå,tr-suINTERR,csubj-obj,hvem som kommer angår oss,theme,co-theme,,
anholde-om,intrObl-oblN,nsubj-obl,vi anholder om tillatelse,agent,theme,,
anholde,tr,nsubj-obj,vi anholder de mistenkte,agent,theme,,
animalisere,tr,nsubj-obj,aktivisten animaliserer plantene,agent,patient,,
animalisere,tr,nsubj-obj,boken animaliserer plantene,cause,patient,,
animere-til,trObl-oblN,nsubj-obj-obl,vi animerer våre tilhengere til innsats,stimulus,experiencer,result,
animere,tr,nsubj-obj,de animerer filmen,agent,result,,
animere,tr,nsubj-obj,stykket animerer tilskuerne,stimulus,experiencer,,
anke,intr,nsubj,den dømte anker,agent,,,
anke,tr,nsubj-obj,den dømte anker avgjørelsen,agent,topic,,
anklage-for,trObl-oblDECL,nsubj-obj-advcl,vi anklager dem for at meldingen ble stoppet,agent,theme,attribute,
anklage-for,trObl-oblEqObInf,nsubj-obj-advcl,vi anklager dem for å sluntre unna,agent,theme,attribute,
anklage-for,trObl-oblN,nsubj-obj-obl,vi anklager dem for nederlaget,agent,theme,attribute,
anklage,tr,nsubj-obj,vi anklager politikerne,agent,theme,,
ankomme,intr-suDir,nsubj-obl,de ankommer til byen,theme,orientation,,
ankomme,tr-suDir,nsubj-obj,båten ankommer byen,theme,orientation,,
ankre-opp,intrPrtcl,nsubj,båtene ankrer opp,agent,,,
ankre,tr,nsubj-obj,vi ankrer båten,agent,patient,,
anlegge,tr,nsubj-obj,vi anlegger en have,agent,result,,
anløpe,intrPresnt-RESULT,expl-nsubj,det anløper et cruiseskip,formal,theme,,
anløpe,intr-RESULT,nsubj,skipet anløper,theme,,,
anløpe,tr,nsubj-obj,skipet anløper byen,agent,destination,,
anmasse,ditr-iobRefl,nsubj-iobj-obj,generalsekretæren anmasser seg rikdom,agent,null-role,theme,
anmelde-for,trObl-oblN,nsubj-obj-obl,vi anmelder ham for tyveriet,agent,patient,theme,
anmelde,tr,nsubj-obj,vi anmelder statssekretæren,agent,patient,,
anmerke,tr,nsubj-obj,vi anmerker rapporten,agent,theme,,
anmerke,tr-obDECL,nsubj-ccomp,vi anmerker at dette har skjedd ofte,agent,topic,,
anmode-om,trObl-oblEqObInf,nsubj-obj-advcl,jeg anmoder dem om å delta,agent,recipient,topic,
anmode-om,trObl-oblEqSuInf,nsubj-obj-advcl,jeg anmoder dem om å få delta,agent,recipient,topic,
anmode-om,trObl-oblN,nsubj-obj-obl,jeg anmoder dem om utsettelse,agent,recipient,topic,
annamme,tr,nsubj-obj,vi annammer bidraget,experiencer,stimulus,,
annektere,tr,nsubj-obj,vi annekterer eiendommen,agent,theme,,
annonsere-om,intrObl-oblN,nsubj-obl,vi annonserer om kampen,agent,theme,,
annonsere,tr,nsubj-obj,vi annonserer forestillingen,agent,theme,,
annotere,tr,nsubj-obj,de annoterer teksten,agent,destination,,
annotere,tr-obINTERR,nsubj-ccomp,de annoterer hvorvidt anvisningene er fulgt,agent,theme,,
annullere,tr,nsubj-obj,vi annullerer resultatet,agent,patient,,
anodisere,tr,nsubj-obj,de anodiserer aluminiumen,agent,patient,,
anonymisere,tr,nsubj-obj,vi anonymiserer deltagerne,agent,theme,,
anordne,ditr,nsubj-iobj-obj,de anordner oss oppgaver,agent,recipient,theme,
anordne,tr,nsubj-obj,vi anordner oppgaver,agent,theme,,
anrette,tr,nsubj-obj,vi anretter et lukullisk måltid,agent,product,,
anrike,tr,nsubj-obj,vi anriker metallet,agent,patient,,
anrope,tr,nsubj-obj,vi anroper kystvakten,agent,recipient,,
anse-for,trScprExpnOb-scObNrg-scPredprtclInf-expnAbsinf,nsubj-expl-xcomp-xcomp,vi anser det for å være mulig å vinne,agent,formal,attribute,theme
anse-for,trScprExpnOb-scObNrg-scPredprtclInf-expnDECL,nsubj-expl-xcomp-ccomp,vi anser det for å være mulig at vi vinner,agent,formal,attribute,theme
anse-for,trScprExpnOb-scObNrg-scPredprtclInf-expnINTERR,nsubj-expl-xcomp-ccomp,vi anser det for å være åpent hvorvidt vi vinner,agent,formal,attribute,theme
anse-for,trScpr-obRefl-scPredprtclInf,nsubj-obj-xcomp,hun anser seg for å være kompetent,agent,theme,attribute,
anse-for,trScpr-scPredprtclInf,nsubj-obj-xcomp,vi anser henne for å være kompetent,agent,theme,attribute,
anse-som,trScprExpnOb-scObNrg-scPredprtclAdj-expnAbsinf,nsubj-expl-xcomp-xcomp,vi anser det som ufornuftig å nekte all skyld,agent,formal,attribute,theme
anse-som,trScprExpnOb-scObNrg-scPredprtclAdj-expnDECL,nsubj-expl-xcomp-ccomp,vi anser det som tvilsomt at det vil komme bedre forslag,agent,formal,attribute,theme
anse-som,trScprExpnOb-scObNrg-scPredprtclAdj-expnINTERR,nsubj-expl-xcomp-ccomp,vi anser det som tvilsomt hvorvidt det vil komme bedre forslag,agent,formal,attribute,theme
anse-som,trScprExpnOb-scObNrg-scPredprtclN-expnAbsinf,nsubj-expl-xcomp-xcomp,vi anser det som en dårlig taktikk å nekte all skyld,agent,formal,attribute,theme
anse-som,trScprExpnOb-scObNrg-scPredprtclN-expnDECL,nsubj-expl-xcomp-ccomp,vi anser det som et omen at det regner svart regn,agent,formal,attribute,theme
anse-som,trScprExpnOb-scObNrg-scPredprtclN-expnINTERR,nsubj-expl-xcomp-ccomp,vi anser det som et åpent spørsmål hvorvidt det vil komme bedre forslag,agent,formal,attribute,theme
anse-som,trScpr-obRefl-scPredprtcl,nsubj-obj-xcomp,hun anser seg som kvalifisert,agent,theme,attribute,
anse-som,trScpr-scPredprtcl,nsubj-obj-xcomp,vi anser dem som kandidater,agent,theme,attribute,
anse,trScprExpnOb-scObNrg-scAdj-expnAbsinf,nsubj-expl-xcomp-xcomp,vi anser det ufornuftig å nekte all skyld,agent,formal,attribute,theme
anse,trScprExpnOb-scObNrg-scAdj-expnDECL,nsubj-expl-xcomp-ccomp,vi anser det tvilsomt at det vil holde seg slik,agent,formal,attribute,theme
anse,trScprExpnOb-scObNrg-scAdj-expnINTERR,nsubj-expl-xcomp-ccomp,vi anser det tvilsomt hvorvidt det vil holde seg slik,agent,formal,attribute,theme
anse,trScpr-obRefl-scObNrg-scPred,nsubj-obj-xcomp,hun anser seg kompetent,agent,theme,attribute,
anse,trScpr-scObNrg-scPred,nsubj-obj-xcomp,vi anser henne frisk,agent,theme,attribute,
ansette,tr,nsubj-obj,vi ansetter søkerne,agent,theme,,
anskaffe,ditr-iobRefl,nsubj-iobj-obj,hun anskaffer seg materialer,agent,null-role,theme,
anskaffe-til,trObl-oblN,nsubj-obj-obl,vi anskaffer dem til reparasjon,agent,theme,goal,
anskaffe,tr,nsubj-obj,vi anskaffer materialene,agent,theme,,
anskueliggjøre,tr,nsubj-obj,eksempelet anskueliggjør prinsippet,pivot,topic,,
anskueliggjøre,tr,nsubj-obj,vi anskueliggjør prinsippet,agent,theme,,
anskue,tr,nsubj-obj,han anskuer dilemmaet,agent,theme,,
anslå-til,trScpr-scPredprtcl,nsubj-obj-xcomp,hun anslår verdien til et par millioner,agent,attribute,value,
anslå,tr,nsubj-obj,vi anslår verdier,agent,attribute,,
anspenne,tr-obRefl,nsubj-obj,hun anspenner seg,agent,null-role,,
anspore-til,trOblExpnSu-oblEqObInf-expnDECL,expl-obj-advcl-csubj,det ansporer ham til å fokusere at han får applaus,formal,experiencer,result,stimulus
anspore-til,trOblExpnSu-oblEqObInf-expnEqObInf,expl-obj-advcl-csubj,det ansporer ham til å fokusere å høre tilropene,formal,experiencer,result,stimulus
anspore-til,trOblExpnSu-oblN-expnDECL,expl-obj-obl-csubj,det ansporer ham til innsats at han får applaus,formal,experiencer,result,stimulus
anspore-til,trOblExpnSu-oblN-expnEqObInf,expl-obj-obl-csubj,det ansporer ham til innsats å høre tilropene,formal,experiencer,result,stimulus
anspore-til,trObl-oblEqObInf,nsubj-obj-advcl,vi ansporer dem til å kjempe,stimulus,experiencer,result,
anspore-til,trObl-oblN,nsubj-obj-obl,vi ansporer dem til kamp,stimulus,experiencer,result,
anspore-til,trObl-suDECL-oblEqObInf,csubj-obj-advmod,at tilhengerne jubler ansporer ham til å fokusere skikkelig,stimulus,experiencer,result,
anspore-til,trObl-suDECL-oblN,csubj-obj-obl,at tilhengerne jubler ansporer ham til innsats,stimulus,experiencer,result,
anspore-til,trObl-suEqObInf-oblEqObInf,csubj-obj-advmod,å høre ropene ansporer ham til å fokusere skikkelig,stimulus,experiencer,result,
anspore-til,trObl-suEqObInf-oblN,csubj-obj-obl,å høre ropene ansporer ham til innsats,stimulus,experiencer,result,
anspore,tr,nsubj-obj,han ansporer sine tilhengere,stimulus,experiencer,,
anstifte,tr,nsubj-obj,vi anstifter et opprør,agent,patient,,
